txn_id,from_account,to_account,amount,timestamp,ifsc,mode
TXN822830,50100234567892,50100234567895,7800,2026-07-24 22:30:00,HDFC0001234,IMPS
TXN200926,50100234567891,50100234567895,3400,2026-07-25 17:30:00,HDFC0001234,IMPS
TXN679884,50100234567893,50100234567891,2500,2026-07-29 10:30:00,HDFC0001234,IMPS
TXN428022,50100234567892,50100234567893,12000,2026-07-29 14:30:00,HDFC0001234,IMPS
TXN232200,50100234567893,50100234567895,18500,2026-07-30 21:30:00,HDFC0001234,IMPS
TXN909693,50100234567891,50100234567894,2500,2026-07-31 02:30:00,HDFC0001234,IMPS
TXN369045,50100234567893,50100234567892,3400,2026-08-02 14:30:00,HDFC0001234,IMPS
TXN519593,50100234567893,50100234567892,7800,2026-08-02 15:30:00,HDFC0001234,IMPS
TXN628440,50100234567891,50100234567892,18500,2026-08-04 05:30:00,HDFC0001234,IMPS
TXN500012,50100234567892,50100234567895,12000,2026-08-05 02:30:00,HDFC0001234,IMPS
TXN840698,50100234567892,50100234567894,18500,2026-08-07 12:30:00,HDFC0001234,IMPS
TXN792380,50100234567892,50100234567894,7800,2026-08-08 16:30:00,HDFC0001234,IMPS
TXN726063,50100234567893,50100234567894,18500,2026-08-10 13:30:00,HDFC0001234,IMPS
TXN618250,50100234567891,50100234567892,12000,2026-08-10 16:30:00,HDFC0001234,IMPS
TXN700000,50100234567891,50100234567892,45000,2026-08-13 05:30:00,HDFC0001234,IMPS
TXN700001,50100234567891,50100234567893,47500,2026-08-13 14:30:00,HDFC0001234,IMPS
TXN700002,50100234567891,50100234567894,44000,2026-08-13 23:30:00,HDFC0001234,IMPS
TXN700003,50100234567891,50100234567895,46500,2026-08-14 08:30:00,HDFC0001234,IMPS
